Economy ,2014
Albania,33.8
Algeria,31.8
Angola,43.5
Argentina,24.4
Armenia,43.3
Australia,13.8
Austria,9.9
Azerbaijan,53.5
"Bahamas, The",29.9
Bahrain,18.8
Bangladesh,34.9
Belarus,43.1
Belgium,22.7
Belize,44.2
Benin,49.4
Bhutan,27.2
Bolivia,62.4
Bosnia and Herzegovina,33.0
Botswana,30.4
Brazil,37.1
Brunei Darussalam,31.7
Bulgaria,33.4
Burkina Faso,39.2
Burundi,38.8
Cabo Verde,35.2
Cambodia,45.9
Cameroon,31.6
Canada,15.5
Central African Republic,45.1
Chad,42.6
Chile,18.4
China,11.6
Colombia,34.9
Comoros,37.5
"Congo, Dem. Rep.",45.5
"Congo, Rep.",42.8
Costa Rica,25.5
Cote d'Ivoire,42.0
Croatia,31.5
Cyprus,29.6
Czech Republic,17.5
Denmark,18.3
Dominican Republic,31.1
Ecuador,32.0
"Egypt, Arab Rep.",35.0
El Salvador,43.5
Equatorial Guinea,32.6
Eritrea,40.8
Estonia,30.1
Eswatini,39.2
Ethiopia,34.9
Fiji,32.2
Finland,18.5
France,15.6
Gabon,51.0
"Gambia, The",48.9
Georgia,63.8
Germany,15.3
Ghana,39.1
Greece,30.1
Guatemala,51.5
Guinea,39.5
Guinea-Bissau,39.5
Guyana,30.6
Haiti,59.2
Honduras,48.0
Hungary,24.0
Iceland,15.9
India,20.7
Indonesia,18.6
"Iran, Islamic Rep.",17.5
Ireland,15.9
Israel,20.2
Italy,29.8
Jamaica,35.8
Japan,10.7
Jordan,17.6
Kazakhstan,38.1
Kenya,30.9
"Korea, Rep.",26.3
Kuwait,20.2
Kyrgyz Republic,37.5
Lao PDR,29.3
Latvia,27.2
Lebanon,31.3
Lesotho,29.6
Liberia,43.7
Libya,37.2
Lithuania,29.7
Luxembourg,10.2
Madagascar,43.7
Malawi,37.7
Malaysia,30.0
Maldives,29.9
Mali,40.2
Malta,26.3
Mauritania,33.3
Mauritius,21.7
Mexico,30.7
Moldova,40.4
Mongolia,16.7
Morocco,34.7
Mozambique,39.0
Myanmar,49.8
Namibia,29.7
Nepal,35.6
Netherlands,13.6
New Zealand,12.1
Nicaragua,43.9
Niger,39.5
Nigeria,55.1
North Macedonia,35.1
Norway,19.2
Oman,20.1
Pakistan,35.1
Panama,56.6
Papua New Guinea,34.9
Paraguay,36.6
Peru,55.8
Philippines,38.9
Poland,25.5
Portugal,23.1
Qatar,17.9
Romania,30.9
Russian Federation,42.6
Rwanda,36.7
Saudi Arabia,17.1
Senegal,44.7
Sierra Leone,40.2
Singapore,12.1
Slovak Republic,17.1
Slovenia,26.2
Solomon Islands,31.8
South Africa,27.7
Spain,23.7
Sri Lanka,40.2
Suriname,35.7
Sweden,19.3
Switzerland,8.5
Syrian Arab Republic,21.0
Tajikistan,39.9
Tanzania,54.8
Thailand,49.2
Togo,34.2
Trinidad and Tobago,32.6
Tunisia,36.9
Turkey,30.8
Uganda,39.6
Ukraine,46.7
United Arab Emirates,27.9
United Kingdom,12.6
United States,8.7
Uruguay,47.5
"Venezuela, RB",32.8
Vietnam,14.4
"Yemen, Rep.",28.8
Zambia,47.0
Zimbabwe,60.3
