Economy ,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,66.6,61.0,,,,,
Angola,AGO,,,,,,,,,,,,,,,79.2,,,,,,,84.3,,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,59.6,58.0,55.3,,50.3,49.7,48.5,47.7,47.8,47.4,46.8,,,47.9,48.1
Armenia,ARM,,,,,,,,,,,,,,,,,,,51.2,55.0,,62.4,61.5,60.4,59.1,52.1,49.9,47.9,50.3
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,87.9,,,89.4,,,,94.7,
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,96.8,,,,,,,
Bolivia,BOL,,,,,,,,,,,,,,,,95.8,96.2,84.3,85.9,84.2,,83.4,82.1,80.4,85.2,84.1,76.3,79.1,80.7
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,38.0,37.1,35.6,33.8,32.4,30.9,33.7,31.5,29.3,30.1,30.5,24.8,22.1
Brazil,BRA,,,,,,,,,,,,,,,,,,,,49.7,,46.0,45.1,44.1,44.8,45.0,,,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,37.7,37.5
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.4
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,98.3,,,,
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,63.8,,,
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,93.6,,,,,,
Cameroon,CMR,,,,,,,,,,,,,,,,,,91.0,,,,,,,90.2,,,,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7,29.3
Colombia,COL,,,,,,,,,,,,,,,,,,,,,67.9,67.0,66.6,64.9,63.2,63.1,62.4,61.9,62.4
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,94.7,,,,
"Congo, Dem. Rep.",COD,,,,,,,,,,,,,,,,98.6,,,,,,,,,,,,,
Costa Rica,CRI,,,,,,,,,,,,,,,,,,,,,37.9,34.7,36.8,38.8,38.8,39.7,37.9,38.2,37.9
Cote d'Ivoire,CIV,,,,,,,,,,,,,,,,,,,,,,,94.8,97.7,,,92.8,86.7,
Dominican Republic,DOM,,,,,,,,,,,90.4,88.4,91.0,89.8,89.4,70.5,65.4,57.7,58.0,55.0,53.9,56.2,56.3,55.9,54.2,56.3,56.3,57.2,56.8
Ecuador,ECU,,,,,,,,,,,,83.2,,81.8,82.4,82.3,82.2,81.6,80.2,78.4,75.5,72.6,71.1,69.7,67.6,68.2,70.8,72.4,72.7
"Egypt, Arab Rep.",EGY,,,,,,,,,,,,,,,,,,,55.8,55.4,57.6,58.7,55.9,57.6,,59.8,61.9,63.8,63.4
El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,72.5,72.6,72.6,71.4,69.3,69.1,69.5,70.2,68.5
"Gambia, The",GMB,,,,,,,,,,,,,,,,,,,,,,,76.5,,,,,,77.6
Ghana,GHA,,,,,,,,,,,,,,,,,93.8,,,,,,,92.1,,88.8,,,
Guatemala,GTM,,,,,,,,,,,,,,81.1,81.2,,80.1,,,,80.9,81.2,82.7,80.5,78.1,79.2,79.2,80.1,
Guyana,GUY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.1
