Economy ,Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,,69.8,63.5,,,,,
Angola,AGO,,,,,,,,,,,,,,,75.3,,,,,,,76.2,,,,,,,
Argentina,ARG,,,,,,,,,,,,,,,47.1,46.5,45.5,,43.6,43.8,42.7,41.9,42.2,42.8,42.6,,,43.8,44.1
Armenia,ARM,,,,,,,,,,,,,,,,,,,,53.8,,45.0,43.4,42.7,56.1,50.8,49.0,47.1,49.9
Bangladesh,BGD,,,,,,,,,,,,,,,,,,,,,82.1,,,76.6,,,,81.8,
Benin,BEN,,,,,,,,,,,,,,,,,,,,,,92.9,,,,,,,
Bolivia,BOL,,,,,,,,,,,,,,,,73.6,71.1,70.5,70.9,69.6,,71.8,70.0,65.4,70.8,69.5,64.7,67.5,69.7
Bosnia and Herzegovina,BIH,,,,,,,,,,,,,,,,,31.6,32.0,31.6,30.6,29.2,27.5,30.4,28.2,25.7,27.2,27.9,17.3,14.8
Botswana,BWA,,,,,,,,,,,,,,,,,43.6,,,,,,,,,,,,
Brazil,BRA,,,,,,,,,,,,,,,,,,,,46.8,,38.2,36.8,35.7,35.9,36.0,,,
Brunei Darussalam,BRN,,,,,,,,,,,,,,,,,,,,,,,,,11.2,,,10.2,9.8
Burkina Faso,BFA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.5
Burundi,BDI,,,,,,,,,,,,,,,,,,,,,,,,,95.7,,,,
Cabo Verde,CPV,,,,,,,,,,,,,,,,,,,,,,,,,,54.2,,,
Cambodia,KHM,,,,,,,,,,,,,,,,,,,,,,,81.3,,,,,,
Cameroon,CMR,,,,,,,,,,,,,,,,,,84.8,,,,,,,80.8,,,,
Chile,CHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.6,22.2
Colombia,COL,,,,,,,,,,,,,,,,,,,,,64.0,63.2,62.9,61.2,59.6,59.6,58.8,58.7,59.1
Comoros,COM,,,,,,,,,,,,,,,,,,,,,,,,,74.4,,,,
