Country Name,Country Code,2014 [YR2014]
Afghanistan,AFG,628.1468039
Albania,ALB,4578.633208
Algeria,DZA,5516.230604
American Samoa,ASM,12313.99736
Andorra,AND,45682.24623
Angola,AGO,5059.080441
Antigua and Barbuda,ATG,14004.81121
Argentina,ARG,12334.79825
Armenia,ARM,4017.229808
Aruba,ABW,26942.30798
Australia,AUS,62513.41122
Austria,AUT,51786.37717
Azerbaijan,AZE,7891.313147
"Bahamas, The",BHS,28720.66219
Bahrain,BHR,25464.7601
Bangladesh,BGD,1108.5151
Barbados,BRB,16924.19034
Belarus,BLR,8341.399679
Belgium,BEL,47764.07151
Belize,BLZ,6068.088609
Benin,BEN,1251.504765
Bermuda,BMU,98467.68399
Bhutan,BTN,2589.899754
Bolivia,BOL,3022.462884
Bosnia and Herzegovina,BIH,5196.8608
Botswana,BWA,6844.020288
Brazil,BRA,12071.15821
British Virgin Islands,VGB,..
Brunei Darussalam,BRN,41037.07265
Bulgaria,BGR,7901.785876
Burkina Faso,BFA,767.3713907
Burundi,BDI,257.8185519
Cabo Verde,CPV,3405.933447
Cambodia,KHM,1098.074538
Cameroon,CMR,1631.714084
Canada,CAN,50955.99832
Cayman Islands,CYM,76613.40655
Central African Republic,CAF,394.856957
Chad,TCD,1017.787824
Channel Islands,CHI,..
Chile,CHL,14666.34353
China,CHN,7636.116601
Colombia,COL,8164.714495
Comoros,COM,1608.687864
"Congo, Dem. Rep.",COD,472.266227
"Congo, Rep.",COG,3622.530293
Costa Rica,CRI,10737.67888
Cote d'Ivoire,CIV,2124.019559
Croatia,HRV,13784.47836
Cuba,CUB,7117.52691
Curacao,CUW,19552.66055
Cyprus,CYP,27245.36523
Czechia,CZE,19890.91991
Denmark,DNK,62548.98473
Djibouti,DJI,2239.114538
Dominica,DMA,7498.917522
Dominican Republic,DOM,6533.66686
Ecuador,ECU,6374.631486
"Egypt, Arab Rep.",EGY,3196.861381
El Salvador,SLV,3638.517658
Equatorial Guinea,GNQ,16804.92595
Eritrea,ERI,..
Estonia,EST,20261.06673
Eswatini,SWZ,3928.506828
Ethiopia,ETH,557.5341484
Faroe Islands,FRO,60125.77212
Fiji,FJI,5305.190923
Finland,FIN,50327.24029
France,FRA,43068.54872
French Polynesia,PYF,21223.08376
Gabon,GAB,9255.368597
"Gambia, The",GMB,561.6491232
Georgia,GEO,4739.188338
Germany,DEU,48023.86998
Ghana,GHA,1942.9051
Gibraltar,GIB,..
Greece,GRC,21616.71001
Greenland,GRL,50484.92757
Grenada,GRD,7726.409657
Guam,GUM,33483.94144
Guatemala,GTM,3779.642336
Guinea,GIN,774.569037
Guinea-Bissau,GNB,605.1225831
Guyana,GUY,5495.376197
Haiti,HTI,1453.917477
Honduras,HND,2164.420219
"Hong Kong SAR, China",HKG,40315.28556
Hungary,HUN,14294.25842
Iceland,ISL,54576.74481
India,IND,1559.864518
Indonesia,IDN,3476.624853
"Iran, Islamic Rep.",IRN,5757.543337
Iraq,IRQ,6215.986033
Ireland,IRL,55643.05943
Isle of Man,IMN,91885.60779
Israel,ISR,38259.6811
Italy,ITA,35565.72138
Jamaica,JAM,4991.565519
Japan,JPN,38475.39525
Jordan,JOR,4255.89431
Kazakhstan,KAZ,12807.26069
Kenya,KEN,1489.919111
Kiribati,KIR,1546.830177
"Korea, Dem. People's Rep.",PRK,..
"Korea, Rep.",KOR,29249.57522
Kosovo,XKX,3902.676013
Kuwait,KWT,43234.82142
Kyrgyz Republic,KGZ,1279.769783
Lao PDR,LAO,1984.50867
Latvia,LVA,15742.39134
Lebanon,LBN,7665.379692
Lesotho,LSO,1165.045935
Liberia,LBR,713.7348824
Libya,LBY,9408.767832
Liechtenstein,LIE,179457.9179
Lithuania,LTU,16551.0182
Luxembourg,LUX,123678.7021
"Macao SAR, China",MAC,90873.93244
Madagascar,MDG,517.1361761
Malawi,MWI,367.0242697
Malaysia,MYS,11045.44513
Maldives,MDV,8872.124925
Mali,MLI,818.4303911
Malta,MLT,26754.26233
Marshall Islands,MHL,3672.680934
Mauritania,MRT,1715.388838
Mauritius,MUS,10368.61343
Mexico,MEX,11076.09245
"Micronesia, Fed. Sts.",FSM,2928.448782
Moldova,MDA,3327.786775
Monaco,MCO,195780.0069
Mongolia,MNG,4211.939454
Montenegro,MNE,7388.147794
Morocco,MAR,3430.549561
Mozambique,MOZ,680.3750335
Myanmar,MMR,1238.72871
Namibia,NAM,5544.097423
Nauru,NRU,9566.21254
Nepal,NPL,827.744346
Netherlands,NLD,52900.53742
