Economy,2014
Albania,58.4
Algeria,29.1
Angola,57
Antigua and Barbuda,
Argentina,21.2
Armenia,44.2
Aruba,
Australia,10.2
Austria,13.3
Azerbaijan,57
"Bahamas, The",
Bahrain,5.7
Bangladesh,
Barbados,
Belarus,
Belgium,14.6
Belize,27.2
Benin,
Bermuda,
Bhutan,73.3
Bolivia,67
Bosnia and Herzegovina,23
Botswana,
Brazil,32.3
Brunei Darussalam,
Bulgaria,12.5
Burkina Faso,
Burundi,
Cabo Verde,
Cambodia,55.4
Cameroon,
Canada,8.8
Cayman Islands,5.6
Chad,
Chile,25.9
China,13.7
Colombia,52.4
"Congo, Rep.",
Costa Rica,24.4
Cote d'Ivoire,
Croatia,15.6
Cuba,
Cyprus,17.9
Czech Republic,18
Denmark,8.9
Djibouti,
Dominica,
Dominican Republic,43.3
Ecuador,43.6
"Egypt, Arab Rep.",
El Salvador,41.2
Estonia,9.1
Ethiopia,48.9
Fiji,
Finland,14
France,11.6
French Polynesia,
Gabon,
"Gambia, The",
Georgia,55.7
Germany,11
Ghana,
Greece,36
Grenada,
Guatemala,29.1
Guinea,
Guyana,
Haiti,
Honduras,58.4
Hungary,10.9
Iceland,12.3
India,77.1
Indonesia,49.3
"Iran, Islamic Rep.",39
Iraq,
Ireland,16.8
Israel,12.5
Italy,24.7
Jamaica,38.3
Japan,11.4
Jordan,14.1
Kazakhstan,28.2
Kenya,82.7
Kiribati,
"Korea, Rep.",26.8
Kosovo,31.8
Kuwait,1.7
Kyrgyz Republic,40.5
Lao PDR,
Latvia,11.5
Lebanon,
Lesotho,
Liberia,
Lithuania,12.1
Luxembourg,8.7
Madagascar,
Malawi,
Malaysia,24.9
Maldives,
Mali,
Malta,13.5
Marshall Islands,
Mauritius,
Mexico,32.2
Moldova,32.7
Mongolia,50.4
Montenegro,18.8
Morocco,52.2
Mozambique,
Myanmar,61.2
Namibia,
Nepal,
Netherlands,16.6
New Caledonia,
New Zealand,15.3
Nicaragua,53.4
Niger,
Nigeria,
North Macedonia,26.7
Norway,7.2
Oman,
Pakistan,60.9
Panama,32.7
Paraguay,44.4
Peru,51.4
Philippines,41.8
Poland,21.4
Portugal,19.7
Puerto Rico,
Qatar,0.5
Romania,32.1
Russian Federation,7.2
Rwanda,
Saint Kitts and Nevis,
Samoa,30.7
Sao Tome and Principe,
Saudi Arabia,3
Senegal,
Serbia,31.7
Seychelles,
Sierra Leone,
Singapore,
Slovak Republic,15.4
Slovenia,18.6
South Africa,13.7
Spain,17.6
Sri Lanka,43.6
St. Lucia,
St. Vincent and the Grenadines,
Suriname,12.2
Sweden,10.3
Switzerland,15.3
Syrian Arab Republic,
Tajikistan,
Tanzania,52.2
Thailand,55.5
Timor-Leste,
Togo,
Tonga,
Trinidad and Tobago,
Tunisia,
Turkey,33.9
Turks and Caicos Islands,
Tuvalu,
Uganda,
Ukraine,15.9
United Arab Emirates,
United Kingdom,15.2
United States,6.5
Uruguay,27.5
Vanuatu,
"Venezuela, RB",36.1
Vietnam,64.4
West Bank and Gaza,32.3
"Yemen, Rep.",
Zambia,77.7
Zimbabwe,74.6
