Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Lending interest rate (%),FR.INR.LEND,Afghanistan,AFG,..,..,15,15.0791666666667,15,15,15,14.8366666666667,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Albania,ALB,1,22.1025,10.8803465425902,9.8266043443155,7.9725,7.8775,6.73416666666667,6.22,5.9325,6.27583333333333,6.12083333333333,6.02166666666667
Lending interest rate (%),FR.INR.LEND,Algeria,DZA,..,10,8,8,8,8,8,8,8,8,8,8
Lending interest rate (%),FR.INR.LEND,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Angola,AGO,..,103.160174166667,16.6564013212232,15.8086382955866,16.3822709411366,16.8818623998822,15.7805039391116,15.8061003813255,20.6770040277157,19.295367205655,19.6558949254322,19.4031546297083
Lending interest rate (%),FR.INR.LEND,Antigua and Barbuda,ATG,10.64000032213,12.1715539440033,10.1571966422671,9.95235329417181,10.0718377079627,9.83508333333333,9.575,9.31,8.976532,8.61132908333333,7.68383775,7.39227225
Lending interest rate (%),FR.INR.LEND,Argentina,ARG,..,..,14.0608333333333,17.1491666666667,24.0091666666667,24.9158333333333,31.2325,26.5808333333333,48.5166666666667,67.2541666666667,29.3875,35.5583333333333
Lending interest rate (%),FR.INR.LEND,Armenia,ARM,..,31.5660003908333,17.2300682381835,15.9949873679769,16.4086652627089,17.5903303177529,17.3567061146333,14.4060016758329,12.793041927804,12.1419889531682,11.6198425058429,11.7619087610202
Lending interest rate (%),FR.INR.LEND,Aruba,ABW,10.6,12.0666666666667,8.4,8.5,7.3,7,6.9,6.3,6,5.7,6.8,..
Lending interest rate (%),FR.INR.LEND,Australia,AUS,16.3541666666667,7.71666666666667,6.975,6.17916666666667,5.95,5.575,5.42083333333333,5.2455,5.26083333333333,5.101,..,..
Lending interest rate (%),FR.INR.LEND,Austria,AUT,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Azerbaijan,AZE,..,19.6558333333333,18.3458333333333,18.21,17.8575,17.5341666666667,16.3752267159245,16.5425,17.4483333333333,17.2812151745262,17.1782012225111,16.4259638117337
Lending interest rate (%),FR.INR.LEND,"Bahamas, The",BHS,9,6,4.75,4.75,4.75,4.75,4.75,4.25,4.25,4.25,4.25,4.25
Lending interest rate (%),FR.INR.LEND,Bahrain,BHR,8.41148197596796,11.6028971962617,6.035,5.935,5.86833333333333,5.16083333333333,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Bangladesh,BGD,14.8457142857143,12.755,13.9441666666667,13.5933333333333,12.945,11.7091666666667,10.4091666666667,9.54,9.65083333333333,9.55583333333333,8.295,7.32416666666667
Lending interest rate (%),FR.INR.LEND,Barbados,BRB,11.4166666666667,10.1875,8.7,8.7,8.38333333333333,8.05833333333333,8.05,8.05,8.05,8.05,8.05,8.05
Lending interest rate (%),FR.INR.LEND,Belarus,BLR,..,67.6666666666667,19.4916666666667,19.1333333333333,18.7416666666667,18.0833333333333,14.4,9.65871241633364,8.69583333333333,9.02333333333333,9.0325,10.1175
Lending interest rate (%),FR.INR.LEND,Belgium,BEL,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Belize,BLZ,14.0416666666667,16.005,12.4408333333333,11.5691666666667,10.8217831837388,10.3202799268031,9.84091010965423,9.4625,9.115,9.06666666666667,8.73416666666667,8.43833333333333
Lending interest rate (%),FR.INR.LEND,Benin,BEN,..,..,5.03916666666667,5.2875,5.33833333333333,5.15416666666667,5.295,6.93416666666667,6.76333333333333,6.68833333333333,6.5375,6.25
Lending interest rate (%),FR.INR.LEND,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Bhutan,BTN,15,16,14,14.0375,14.025,14.8958333333333,14.15,14.25,14,14,14,14
Lending interest rate (%),FR.INR.LEND,Bolivia,BOL,41.8133333333333,34.5958333333333,11.1349478606743,11.0513992821176,9.69422821628935,8.07325379670779,7.95202606117997,8.10989203240817,8.03724252665112,8.39953170954602,7.59222372184479,8.01711817014333
Lending interest rate (%),FR.INR.LEND,Bosnia and Herzegovina,BIH,..,..,7.32891666666667,7.03604811133436,6.64150863945302,5.78888799043185,5.23816683778765,4.37958143265647,3.79028136918822,3.28722715810128,3.07187413211574,3.20129279505403
Lending interest rate (%),FR.INR.LEND,Botswana,BWA,7.875,15.4791666666667,11,10.1892333333333,9,7.95,7.3,6.875,6.5,6.39583333333333,5.75,5.25
Lending interest rate (%),FR.INR.LEND,Brazil,BRA,..,56.83,36.6366666666667,27.3916666666667,32.0083333333333,43.9583333333333,52.1,46.9166666666667,39.0833333333333,37.475,29.0416666666667,30.0166666666667
Lending interest rate (%),FR.INR.LEND,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Brunei Darussalam,BRN,..,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
Lending interest rate (%),FR.INR.LEND,Bulgaria,BGR,..,11.3433833333333,9.71420833333333,9.04340833333333,8.26264166666667,7.44886666666667,6.39301666666667,5.43955833333333,4.963225,4.54920833333333,4.33663333333333,4.11618333333333
Lending interest rate (%),FR.INR.LEND,Burkina Faso,BFA,..,..,5.03916666666667,5.2875,5.33833333333333,5.15416666666667,5.295,6.51166666666667,6.76333333333333,6.68833333333333,6.5375,6.25
Lending interest rate (%),FR.INR.LEND,Burundi,BDI,12.3416666666667,15.77,14.32,15.1475,15.6683333333333,15.3291666666667,14.2383333333333,14.7966666666667,14.7891666666667,14.5333333333333,12.195,12.8583333333333
Lending interest rate (%),FR.INR.LEND,Cabo Verde,CPV,..,..,9.90035884746328,10.520099018866,10.8937565287826,10.4058225644923,9.60664701973665,9.48812259528097,8.97292567041423,9.14083475915223,8.19451484269313,7.61928566776367
Lending interest rate (%),FR.INR.LEND,Cambodia,KHM,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Canada,CAN,14.0625,7.27083333333333,3,3,3,2.775,2.7,2.7,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Central African Republic,CAF,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Chad,TCD,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Chile,CHL,48.8691791893508,14.8433912347788,10.0572624433615,9.26187678192101,8.09805824839012,5.51492732291402,5.58839657725206,4.55285507889072,4.17801925025561,..,..,..
Lending interest rate (%),FR.INR.LEND,China,CHN,9.36,5.85,6,6,5.6,4.35,4.35,4.35,4.35,4.35,4.35,4.35
Lending interest rate (%),FR.INR.LEND,Colombia,COL,44.569656996587,18.7866666666667,12.5850402049247,10.9855861710036,10.8673350376127,11.4499872575296,14.6454318106769,13.6858303184817,12.1148777449182,11.7690653821827,9.85052425129014,9.3378484091001
Lending interest rate (%),FR.INR.LEND,Comoros,COM,..,12,10.5,10.5,10.5,10.5,10.5,10.5,10.5,10.5,8.09375,7.875
Lending interest rate (%),FR.INR.LEND,"Congo, Dem. Rep.",COD,..,..,28.4466666666667,19.3660119047619,18.6925,19.3708333333333,19.0458333333333,20.6208333333333,24.7483333333333,26.7358333333333,25.9584937147496,23.2857241932595
Lending interest rate (%),FR.INR.LEND,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Costa Rica,CRI,32.5566666666667,24.8891666666667,18.2125,15.1883333333333,14.9030555555556,14.2333333333334,11.6386111111111,11.3651388888889,11.1232908801993,8.74614960993387,6.63808237583333,5.51221232
Lending interest rate (%),FR.INR.LEND,Cote d'Ivoire,CIV,..,..,5.03916666666667,5.2875,5.33833333333333,5.15416666666667,5.295,5.14,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Croatia,HRV,..,12.0733333333333,9.48083333333333,9.24666666666667,8.58,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Cyprus,CYP,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Czechia,CZE,..,7.16225,5.40672323724727,4.96989301373891,4.64490546444,4.28253332923937,3.9072462757748,3.58974364323778,3.54161587741081,3.68603218349692,3.34430704292427,3.20212533339961
Lending interest rate (%),FR.INR.LEND,Denmark,DNK,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,Dominica,DMA,11.2569845633899,11.6808005322677,9.04298186920945,9.07396001934442,8.93663314196025,8.66866666666667,8.2775,8.075,7.81221991666667,7.53996066666667,6.89907858333333,6.29791625
Lending interest rate (%),FR.INR.LEND,Dominican Republic,DOM,..,26.7991666666667,15.4825,13.5914005366667,13.9025,14.8766666666667,15.0841666666667,13.91,12.5337,12.4867666666667,10.9796416666667,9.60830833333333
Lending interest rate (%),FR.INR.LEND,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..
Lending interest rate (%),FR.INR.LEND,"Egypt, Arab Rep.",EGY,19,13.2158333333333,12,12.2916666666667,11.7083333333333,11.625,13.6,18.175,18.3166666666667,16.1166666666667,11.3666666666667,9.425
Lending interest rate (%),FR.INR.LEND,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..
