Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Afghanistan,AFG,..,0.225927940102482,0.193162004507073,0.142361804270184,0.124470105095823,0.13002886502701,0.154863500533131,0.211651121897032,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Albania,ALB,..,0.951527361100831,1.06342133713235,1.14587185913294,1.31872862434373,1.37790710039934,1.52807521334242,1.6578247650228,1.63353829825162,1.52483619013594,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Algeria,DZA,..,0.309461290154696,0.303755499945527,0.327979309199905,0.311346049419501,0.336151387893455,0.372107583473499,0.353296737480681,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Antigua and Barbuda,ATG,..,2.70405124820937,3.43887673924757,3.84356983266409,4.18113091105454,4.52336562853388,5.75522134884214,4.20742610707899,3.61194029850746,3.78388805626864,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Argentina,ARG,..,0.184657612822972,0.200203136189905,0.172029509998524,0.179440387753378,0.21074882010205,0.219978653319665,0.198629933646666,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Armenia,ARM,..,1.58728026244361,1.57858368280595,1.56980192647599,1.72930979597313,1.7385481191485,2.20422111071312,3.05245628974112,3.43185592692547,2.85545963882944,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Australia,AUS,..,12.0807337158743,13.060156690824,14.2282656895346,15.2739408215988,15.2480042209321,15.4478731355018,14.4796186606973,13.5899134759266,14.2723975813457,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Austria,AUT,..,0.477955660014677,0.492758760141128,0.509209763239236,0.521226518486455,0.514658532017354,0.5182145789447,0.508252963113079,0.510430236689394,0.530611879455657,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Azerbaijan,AZE,..,0.699257790588419,1.06258432003641,0.997105272800557,0.756028960786804,1.04159828126905,1.58673376923312,1.65845319779658,2.23201010103022,1.29979590438778,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Bahrain,BHR,..,1.33788705291115,1.41091078081555,1.39820186770231,1.48680049452484,3.8396043845922,3.59408907008,3.11021620192405,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Bangladesh,BGD,..,..,..,..,0.0736932382611236,0.0775846332445701,0.0717065812937578,0.041286231610332,..,..,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Barbados,BRB,..,..,..,..,5.77747568754575,5.51430272268697,4.93145537946114,4.48257327885363,4.9034966787818,4.88470730980236,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Belarus,BLR,..,1.14708931691235,1.35003065109109,1.06048800578849,0.925295202568298,0.979319550430309,1.20439637617799,1.34338494093275,1.36278123326296,1.14093799230073,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Belgium,BEL,..,2.71866375249309,2.6164257268223,2.71909045635596,2.82204653764541,3.1011849517749,3.13302963446759,3.71075532503756,4.23306440699933,4.66768705824476,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Belize,BLZ,..,4.14308278004215,3.7226898176765,2.94892285527767,2.94608018575581,2.97476331323282,3.20674199965333,3.06506945616107,3.01096319498825,2.56495529485518,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Benin,BEN,..,..,0.169789309457883,0.250974478329026,0.498679133762319,0.522196508689708,0.515354844558887,0.486351841642686,0.534100374196596,0.607464342340039,..
"New business density (new registrations per 1,000 people ages 15-64)",IC.BUS.NDNS.ZS,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..
