Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
New businesses registered (number),IC.BUS.NREG,Afghanistan,AFG,..,..,3557,3191,2466,2255,2448,3022,4274,..,..,..
New businesses registered (number),IC.BUS.NREG,Albania,ALB,..,..,1877,2105,2271,2610,2721,3014,3259,3189,2945,..
New businesses registered (number),IC.BUS.NREG,Algeria,DZA,..,..,7724,7698,8426,8093,8841,9885,9472,..,..,..
New businesses registered (number),IC.BUS.NREG,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Angola,AGO,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Antigua and Barbuda,ATG,..,..,168,217,246,271,296,380,280,242,255,..
New businesses registered (number),IC.BUS.NREG,Argentina,ARG,..,..,4928,5406,4699,4958,5885,6209,5667,..,..,..
New businesses registered (number),IC.BUS.NREG,Armenia,ARM,..,..,3190,3180,3168,3493,3510,4443,6137,6877,5700,..
New businesses registered (number),IC.BUS.NREG,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Australia,AUS,..,..,184237,201855,222294,241023,243105,249048,235684,223389,236447,..
New businesses registered (number),IC.BUS.NREG,Austria,AUT,..,..,2714,2811,2923,3020,3009,3046,2997,3017,3141,..
New businesses registered (number),IC.BUS.NREG,Azerbaijan,AZE,..,..,4661,7172,6803,5208,7219,11058,11611,15687,9165,..
New businesses registered (number),IC.BUS.NREG,"Bahamas, The",BHS,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Bahrain,BHR,..,..,1346,1433,1439,1567,4230,4177,3823,..,..,..
New businesses registered (number),IC.BUS.NREG,Bangladesh,BGD,..,..,..,..,..,7556,8103,7629,4473,..,..,..
New businesses registered (number),IC.BUS.NREG,Barbados,BRB,..,..,..,..,..,1105,1056,945,859,939,934,..
New businesses registered (number),IC.BUS.NREG,Belarus,BLR,..,..,7674,8983,7019,6095,6427,7861,8700,8697,7204,..
New businesses registered (number),IC.BUS.NREG,Belgium,BEL,..,..,19769,19054,19825,20634,22705,22944,27204,31094,34366,..
New businesses registered (number),IC.BUS.NREG,Belize,BLZ,..,..,863,801,655,675,701,777,763,769,671,..
New businesses registered (number),IC.BUS.NREG,Benin,BEN,..,..,..,906,1382,2834,3060,3115,3033,3437,4034,..
New businesses registered (number),IC.BUS.NREG,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Bhutan,BTN,..,..,82,23,29,44,50,72,47,..,..,..
New businesses registered (number),IC.BUS.NREG,Bolivia,BOL,..,..,..,..,..,..,..,..,3593,..,..,..
New businesses registered (number),IC.BUS.NREG,Bosnia and Herzegovina,BIH,..,..,..,..,..,..,2814,2433,2493,2547,2229,..
New businesses registered (number),IC.BUS.NREG,Botswana,BWA,..,..,16194,15092,18621,23512,26613,20614,20993,17377,26256,..
New businesses registered (number),IC.BUS.NREG,Brazil,BRA,..,..,311644,304549,267225,245830,226570,235300,253902,291392,405049,..
New businesses registered (number),IC.BUS.NREG,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Brunei Darussalam,BRN,..,..,480,475,457,573,760,798,731,745,316,..
New businesses registered (number),IC.BUS.NREG,Bulgaria,BGR,..,..,8558,8168,7751,8720,9423,9022,8855,7872,6220,..
New businesses registered (number),IC.BUS.NREG,Burkina Faso,BFA,..,..,..,..,..,..,..,2940,3416,..,..,..
New businesses registered (number),IC.BUS.NREG,Burundi,BDI,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Cabo Verde,CPV,..,..,949,1011,1022,1281,3206,4349,5868,6023,4869,..
New businesses registered (number),IC.BUS.NREG,Cambodia,KHM,..,..,3385,2986,3850,4417,4238,5432,7007,9605,5824,..
New businesses registered (number),IC.BUS.NREG,Cameroon,CMR,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Canada,CAN,..,..,..,..,..,..,..,3052,3262,..,..,..
New businesses registered (number),IC.BUS.NREG,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Central African Republic,CAF,..,..,169,87,87,138,250,265,340,319,335,..
New businesses registered (number),IC.BUS.NREG,Chad,TCD,..,..,805,904,927,768,702,780,878,..,..,..
New businesses registered (number),IC.BUS.NREG,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Chile,CHL,..,..,..,85418,98433,102914,109880,118724,132740,138587,158583,..
New businesses registered (number),IC.BUS.NREG,China,CHN,..,..,103532,117997,188558,210086,245321,229299,228559,211960,232064,..
New businesses registered (number),IC.BUS.NREG,Colombia,COL,..,..,..,61559,69841,61033,68460,66780,67983,74706,68749,..
New businesses registered (number),IC.BUS.NREG,Comoros,COM,..,..,..,..,..,..,..,..,78,..,..,..
New businesses registered (number),IC.BUS.NREG,"Congo, Dem. Rep.",COD,..,..,..,..,..,1701,1565,1464,2102,1480,1795,..
New businesses registered (number),IC.BUS.NREG,"Congo, Rep.",COG,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Costa Rica,CRI,..,..,..,10273,10965,13154,20693,17573,20758,16427,12686,..
New businesses registered (number),IC.BUS.NREG,Cote d'Ivoire,CIV,..,..,..,1342,3664,5758,7881,8043,10233,11210,11451,..
New businesses registered (number),IC.BUS.NREG,Croatia,HRV,..,..,7949,14186,12964,12558,13502,14918,15585,14633,11539,..
New businesses registered (number),IC.BUS.NREG,Cuba,CUB,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Cyprus,CYP,..,..,17999,10847,11169,11270,13645,13677,14526,12781,11053,..
New businesses registered (number),IC.BUS.NREG,Czechia,CZE,..,..,21571,22227,24366,26068,27881,31195,30336,28758,26024,..
New businesses registered (number),IC.BUS.NREG,Denmark,DNK,..,..,17218,16992,25933,30282,33645,36341,36982,..,..,..
New businesses registered (number),IC.BUS.NREG,Djibouti,DJI,..,..,..,..,..,..,..,..,..,..,1142,..
New businesses registered (number),IC.BUS.NREG,Dominica,DMA,..,..,898,755,874,748,609,339,371,319,268,..
New businesses registered (number),IC.BUS.NREG,Dominican Republic,DOM,..,..,7219,8131,8059,8367,9363,9597,10204,..,..,..
New businesses registered (number),IC.BUS.NREG,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,"Egypt, Arab Rep.",EGY,..,..,2785,2867,3334,4109,4682,5702,10877,13920,14768,..
New businesses registered (number),IC.BUS.NREG,El Salvador,SLV,..,..,1856,1989,2082,2158,2218,2149,2361,2617,1771,..
New businesses registered (number),IC.BUS.NREG,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Estonia,EST,..,..,13524,14242,13867,15005,16572,18461,19950,20899,20329,..
New businesses registered (number),IC.BUS.NREG,Eswatini,SWZ,..,..,1587,1946,2402,2380,2472,2213,2626,2871,2961,..
New businesses registered (number),IC.BUS.NREG,Ethiopia,ETH,..,..,..,..,..,..,10693,34912,31198,..,..,..
New businesses registered (number),IC.BUS.NREG,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Fiji,FJI,..,..,..,..,..,..,..,..,..,1121,1320,..
New businesses registered (number),IC.BUS.NREG,Finland,FIN,..,..,12506,12441,11965,12625,13584,13848,14700,18100,20020,..
New businesses registered (number),IC.BUS.NREG,France,FRA,..,..,159521,158875,165722,171984,188843,197899,201087,218426,218054,..
New businesses registered (number),IC.BUS.NREG,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Gabon,GAB,..,..,1258,1421,1620,1544,1175,1192,1218,1475,1275,..
New businesses registered (number),IC.BUS.NREG,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Georgia,GEO,..,..,15004,17761,17608,18432,21299,25554,25238,22588,17905,..
New businesses registered (number),IC.BUS.NREG,Germany,DEU,..,..,69332,68526,67458,69384,70720,71801,72844,73991,72774,..
New businesses registered (number),IC.BUS.NREG,Ghana,GHA,..,..,13154,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Greece,GRC,..,..,3473,4894,5072,4746,5750,7733,9921,11980,12047,..
New businesses registered (number),IC.BUS.NREG,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Grenada,GRD,..,..,123,164,175,228,228,273,247,257,217,..
New businesses registered (number),IC.BUS.NREG,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Guatemala,GTM,..,..,4182,4540,4708,4936,4878,5675,5497,6404,6229,..
New businesses registered (number),IC.BUS.NREG,Guinea,GIN,..,..,..,..,792,1427,1852,2346,2630,3121,3192,..
New businesses registered (number),IC.BUS.NREG,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Guyana,GUY,..,..,327,348,316,227,440,469,589,885,819,..
New businesses registered (number),IC.BUS.NREG,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,"Hong Kong SAR, China",HKG,..,..,150165,174031,167280,139209,144883,160229,151739,124741,99405,..
New businesses registered (number),IC.BUS.NREG,Hungary,HUN,..,..,32311,28207,24479,21048,22328,22783,24252,25376,25608,..
New businesses registered (number),IC.BUS.NREG,Iceland,ISL,..,..,1745,1935,2047,2363,2654,2576,2301,2199,2484,..
New businesses registered (number),IC.BUS.NREG,India,IND,..,..,103078,91841,69841,80546,93714,107492,117834,128565,142000,..
New businesses registered (number),IC.BUS.NREG,Indonesia,IDN,..,..,47714,51151,57926,57079,58426,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,36158,..
New businesses registered (number),IC.BUS.NREG,Iraq,IRQ,..,..,2450,3044,1958,1801,2020,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Ireland,IRL,..,..,13773,14876,17601,19207,20750,22048,22217,22561,21873,..
New businesses registered (number),IC.BUS.NREG,Isle of Man,IMN,..,..,2019,2202,2092,1960,1832,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Israel,ISR,..,..,14246,14201,15409,16587,17624,17213,17456,17303,16898,..
New businesses registered (number),IC.BUS.NREG,Italy,ITA,..,..,75646,83470,91583,99983,102135,110756,114360,..,..,..
New businesses registered (number),IC.BUS.NREG,Jamaica,JAM,..,..,1946,1948,1775,2227,2544,2733,3159,3819,3964,..
New businesses registered (number),IC.BUS.NREG,Japan,JPN,..,..,11031,14729,19972,22387,23944,27422,29243,30733,33411,..
New businesses registered (number),IC.BUS.NREG,Jordan,JOR,..,..,4141,4442,4356,3654,3659,4175,3499,3078,2778,..
New businesses registered (number),IC.BUS.NREG,Kazakhstan,KAZ,..,..,15404,19601,15072,10682,21583,28004,23464,32906,41211,..
New businesses registered (number),IC.BUS.NREG,Kenya,KEN,..,..,..,..,..,..,..,37733,44381,42085,49037,..
New businesses registered (number),IC.BUS.NREG,Kiribati,KIR,..,..,5,2,2,3,4,4,2,..,..,..
New businesses registered (number),IC.BUS.NREG,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,"Korea, Rep.",KOR,..,..,74162,75574,84697,93768,96155,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Kosovo,XKX,..,..,1466,1970,2117,2539,3978,4656,5366,5586,5768,..
New businesses registered (number),IC.BUS.NREG,Kuwait,KWT,..,..,1080,1373,1903,3449,5370,9679,18157,21926,10603,..
New businesses registered (number),IC.BUS.NREG,Kyrgyz Republic,KGZ,..,..,3379,4035,4100,4499,4936,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Lao PDR,LAO,..,..,212,215,203,223,263,315,427,901,699,..
New businesses registered (number),IC.BUS.NREG,Latvia,LVA,..,..,15752,15352,13995,12551,10319,9340,9864,9595,8234,..
New businesses registered (number),IC.BUS.NREG,Lebanon,LBN,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Lesotho,LSO,..,..,1795,2032,1933,2572,2301,2443,3725,2872,1981,..
New businesses registered (number),IC.BUS.NREG,Liberia,LBR,..,..,30,34,39,21,31,32,58,54,60,..
New businesses registered (number),IC.BUS.NREG,Libya,LBY,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Liechtenstein,LIE,..,..,24,30,29,29,34,127,163,313,58,..
New businesses registered (number),IC.BUS.NREG,Lithuania,LTU,..,..,10976,8057,8481,6184,6352,6578,6072,5909,5305,..
New businesses registered (number),IC.BUS.NREG,Luxembourg,LUX,..,..,5127,5937,6777,6642,6207,6636,7309,..,..,..
New businesses registered (number),IC.BUS.NREG,"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Madagascar,MDG,..,..,..,..,1557,1543,1572,1904,1881,..,..,..
New businesses registered (number),IC.BUS.NREG,Malawi,MWI,..,..,..,..,..,..,..,..,..,..,..,..
New businesses registered (number),IC.BUS.NREG,Malaysia,MYS,..,..,45441,46321,49203,49510,46555,52085,51722,50932,47834,..
New businesses registered (number),IC.BUS.NREG,Maldives,MDV,..,..,763,721,1063,1184,1247,1260,1090,1280,1153,..
New businesses registered (number),IC.BUS.NREG,Mali,MLI,..,..,1501,1772,1709,1558,2382,1330,3151,4033,2741,..
New businesses registered (number),IC.BUS.NREG,Malta,MLT,..,..,3936,4477,5014,5372,5125,5276,5527,4172,3396,..
New businesses registered (number),IC.BUS.NREG,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
