Country Name,Country Code,Series Name,Series Code,2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Afghanistan,AFG,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,9,9,9,6,8,8,8,8,8,8
Albania,ALB,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,6,6,5,5,5,5,5,5,4.5,4.5
Algeria,DZA,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,22,22,22,22,20,18,18,18,18,18
Angola,AGO,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,66,66,66,66,66,36,36,36,36,36
Antigua and Barbuda,ATG,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,22,22,22,22,22,22,22,22,22,19
Argentina,ARG,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,24.5,24.5,24.5,24.5,24.5,24.5,24.5,24.5,11,11.5
Armenia,ARM,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,14,8,8,5,5,5,5,5,4,4
Australia,AUS,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2
Austria,AUT,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,25,25,25,25,22,22,21,21,21,21
Azerbaijan,AZE,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,8,8,8,7,5.5,3.5,3.5,3.5,3.5,3.5
"Bahamas, The",BHS,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,23.5,23.5,23.5,23.5,23.5,28.5,21.5,21.5,21.5,11.5
Bahrain,BHR,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,9,9,9,9,9,9,8,8,8,8
Bangladesh,BGD,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,..,..,..,21.84,19.5,19.5,19.5,19.5,19.5,19.5
Barbados,BRB,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,..,18,18,18,19,19,16,16,16,16
Beijing,CHN_BEI,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,..,..,..,34,31,31,28,24,8,8
Belarus,BLR,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,13,13,13,12,12,9,9,9,9,8.5
Belgium,BEL,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,5
Belize,BLZ,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,43,43,43,43,43,43,43,48,48,48
Benin,BEN,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,34,32,29,18,12,12,8,8,8,8
Bhutan,BTN,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,46,35,35,30,15,15,15,12,12,12
Bolivia,BOL,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,49,49,49,49,49,49,45,41,39.5,39.5
Bosnia and Herzegovina,BIH,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,109,85,82,82,82,82,80,80,80,80
Botswana,BWA,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,59,40,40,41,48,48,48,48,48,48
Brazil,BRA,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,..,..,..,86.635,83.585,85.975,82.465,82.465,20.145,16.62
Brunei Darussalam,BRN,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,108,104,104,104,104,14,14,12,5,5
Bulgaria,BGR,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,25,25,25,25,25,25,23,23,23,23
Burkina Faso,BFA,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,14,13,13,13,13,13,13,13,13,13
Burundi,BDI,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,13,13,7,5,5,4,4,4,5,5
Cabo Verde,CPV,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,18,18,18,18,18,18,18,18,18,9
Cambodia,KHM,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,102,102,102,101,101,87,99,99,99,99
Cameroon,CMR,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,20,16,16,16,16,16,16,16,13,13
Canada,CAN,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,5.5,5.5,5.5,5.5,5.5,1.5,1.5,1.5,1.5,1.5
Central African Republic,CAF,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,24,22,22,22,22,22,22,22,22,22
Chad,TCD,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,62,53,60,60,60,60,60,60,58,58
Chile,CHL,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,36.5,9.5,7.5,7.5,7.5,7.5,7.5,7.5,6,4
China,CHN,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,..,..,..,32.35,29.35,29.35,26.9,22.9,8.55,8.55
Colombia,COL,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,11,11,12,12,12,12,11,11,11,10
Comoros,COM,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,22,22,20,16,16,16,16,16,16,16
"Congo, Dem. Rep.",COD,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,84,65,58,31,16,11,11,7,7,7
"Congo, Rep.",COG,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,158,158,158,98,50,50,50,49,49,49
Costa Rica,CRI,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,73.5,73.5,57.5,23,23,23,22.5,22.5,23,23
Côte d'Ivoire,CIV,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,40,32,32,8,7,7,7,8,6,6
Croatia,HRV,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,20.5,20,22.5,22.5,22.5,22.5,22.5,22.5,22.5,19.5
Cyprus,CYP,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,8,8,8,8,8,8,6,6,6,6
Czech Republic,CZE,Starting a business: Time - Men (days),IC.REG.DURS.MA.DY,32,30.5,30.5,30.5,30.5,30.5,24.5,24.5,24.5,24.5
