Estimate,StdErr,NumSrc,Rank,Lower,Upper
1.01,0.31,2.00,81.73,69.23,91.35
1.22,0.43,1.00,87.02,69.23,95.19
-1.36,0.16,11.00,5.29,0.00,12.50
-1.46,0.16,10.00,3.85,0.00,9.13
1.22,0.43,1.00,87.02,69.23,95.19
-0.59,0.13,11.00,34.13,23.56,43.75
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1.20,0.14,8.00,83.17,79.33,89.90
-0.55,0.13,14.00,35.58,24.52,46.15
-0.57,0.14,13.00,35.10,23.56,46.15
1.22,0.43,1.00,87.02,69.23,95.19
0.63,0.43,1.00,72.12,54.81,88.94
1.85,0.13,11.00,95.19,91.83,95.67
1.47,0.13,10.00,90.87,87.02,91.83
-1.02,0.14,11.00,14.90,8.17,24.04
-1.27,0.17,12.00,8.17,1.92,15.38
1.51,0.13,11.00,91.35,87.50,92.79
-0.67,0.18,11.00,29.81,15.38,43.27
-0.47,0.13,14.00,38.94,28.37,50.00
-0.89,0.14,13.00,18.75,12.50,29.81
-0.30,0.12,14.00,47.60,36.06,54.33
0.27,0.17,7.00,62.98,56.25,69.71
1.31,0.21,3.00,88.94,79.33,91.83
-0.30,0.15,11.00,48.08,35.58,54.81
-0.23,0.14,10.00,51.44,39.42,56.25
-0.16,0.22,5.00,52.88,36.06,61.06
1.22,0.43,1.00,87.02,69.23,95.19
-0.63,0.14,14.00,30.29,21.15,42.31
-0.37,0.14,12.00,44.23,33.17,52.88
1.13,0.24,4.00,82.69,75.00,91.35
0.53,0.21,3.00,69.71,61.06,78.85
1.31,0.19,9.00,88.46,80.29,91.83
-1.61,0.20,9.00,0.48,0.00,7.69
0.81,0.14,11.00,76.92,70.67,81.73
-1.17,0.19,10.00,11.06,2.88,20.19
1.83,0.14,11.00,94.71,91.35,95.67
2.15,0.16,9.00,98.08,95.19,100.00
1.44,0.14,12.00,90.38,84.13,91.83
-0.34,0.13,11.00,46.15,35.58,53.85
-0.42,0.13,14.00,42.31,29.81,51.92
-1.18,0.13,15.00,10.10,4.33,15.38
-1.20,0.16,11.00,9.13,3.85,15.87
#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
-0.40,0.13,14.00,42.79,30.77,52.40
-0.59,0.26,7.00,33.65,15.38,52.40
0.97,0.20,9.00,79.81,72.12,87.50
0.73,0.14,10.00,75.00,68.75,79.33
0.06,0.17,7.00,59.13,51.92,64.90
1.01,0.31,2.00,81.73,69.23,91.35
1.07,0.17,8.00,82.21,75.48,88.94
0.43,0.12,14.00,67.31,62.02,70.67
1.81,0.13,10.00,93.75,91.35,95.67
