,,1996,1996,1996,1996,1996,1996,1998,1998,1998,1998,1998,1998,2000,2000,2000,2000,2000,2000,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005,2006,2006,2006,2006,2006,2006,2007,2007,2007,2007,2007,2007,2008,2008,2008,2008,2008,2008,2009,2009,2009,2009,2009,2009,2010,2010,2010,2010,2010,2010,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021
Country/Territory,Code,Estimate ,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper,Estimate,StdErr,NumSrc,Rank,Lower,Upper
Aruba,ABW,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.76,0.32,1,73.63,61.69,87.06,0.86,0.21,1,75,64.71,83.82,0.86,0.31,1,75.49,61.27,91.18,0.88,0.37,1,76.7,59.71,91.26,0.89,0.38,1,78.16,58.74,92.72,1.29,0.33,2,86.6,73.21,99.52,1.34,0.35,2,87.08,75.12,100,1.32,0.36,2,87.68,75.36,99.53,1.4,0.34,2,90.52,76.3,100,1.42,0.33,2,90.52,76.78,100,1.25,0.35,2,88.46,72.12,97.12,1.37,0.34,2,90.38,76.92,99.04,1.34,0.36,2,88.94,75.48,98.08,1.19,0.35,2,84.13,72.12,94.71,0.85,0.37,2,77.88,62.98,90.38,0.86,0.36,2,75.96,62.5,90.87,0.93,0.37,2,77.88,62.5,92.79,0.95,0.38,2,78.85,62.98,93.27
Andorra,ADO,1.27,0.39,1,88.04,69.57,98.91,1.25,0.44,1,89.13,66.85,98.91,1.22,0.42,1,87.5,67.39,98.91,1.42,0.37,1,90.81,72.43,100,1.41,0.28,1,90.27,77.3,99.46,1.41,0.32,1,89.05,77.61,99.5,1.36,0.21,1,90.69,78.43,99.02,1.35,0.31,1,91.18,73.53,99.51,1.38,0.37,1,90.78,73.79,99.51,1.4,0.38,1,91.26,73.79,100,1.41,0.41,1,91.39,73.21,100,1.39,0.46,1,89.95,70.81,100,1.61,0.46,1,94.31,75.83,100,1.56,0.5,1,93.84,73.46,100,1.56,0.5,1,92.89,72.99,100,0.88,0.51,1,78.37,53.37,94.23,0.91,0.46,1,78.85,57.69,92.79,0.87,0.49,1,78.37,56.25,92.31,1.21,0.47,1,85.58,68.27,98.08,1.19,0.49,1,85.58,65.38,98.08,1.23,0.49,1,86.06,66.35,99.52,1.34,0.52,1,88.46,68.75,99.52,1.36,0.49,1,88.94,71.15,99.52
Afghanistan,AFG,-2.09,0.39,1,1.63,0,5.98,-2.06,0.44,1,2.17,0,9.24,-2.08,0.42,1,1.63,0,7.61,-1.81,0.3,2,2.16,0,7.57,-1.46,0.24,2,4.86,1.62,15.14,-1.51,0.22,4,5.97,1.49,12.94,-1.64,0.18,4,2.94,1.47,7.35,-1.69,0.22,5,2.94,1.47,8.33,-1.71,0.24,4,2.91,0.97,7.77,-1.61,0.2,5,3.4,2.43,7.77,-1.66,0.19,6,3.35,1.91,6.22,-1.52,0.18,6,5.74,2.39,9.09,-1.54,0.18,6,4.27,2.37,9,-1.19,0.18,8,10.43,4.74,21.8,-1.19,0.18,9,10.43,6.16,21.33,-1.12,0.19,9,11.06,5.77,25.48,-1.01,0.19,9,14.9,6.73,27.88,-1.34,0.2,9,7.21,3.85,12.5,-1.36,0.19,9,7.21,3.37,12.98,-1.15,0.2,9,10.58,5.29,18.75,-1.12,0.2,9,10.1,6.25,19.71,-1.4,0.21,8,8.17,3.85,11.54,-1.34,0.23,6,8.17,3.37,14.9
Angola,AGO,-1.42,0.31,4,7.61,1.63,20.11,-1.45,0.33,4,8.7,2.72,17.93,-1.51,0.33,3,7.07,2.17,15.22,-1.29,0.24,4,9.19,3.24,18.92,-1.19,0.19,5,11.89,4.32,18.92,-1.23,0.2,6,9.45,5.47,18.91,-1.24,0.17,7,10.29,5.39,18.63,-1.16,0.19,8,12.25,5.39,21.08,-1.08,0.2,7,16.5,6.8,22.33,-1.1,0.19,7,15.05,5.34,21.36,-1.06,0.18,8,15.31,6.22,23.92,-1.06,0.17,9,14.83,6.7,22.97,-1.11,0.17,9,12.32,7.11,22.27,-0.99,0.19,8,18.01,9,27.96,-1.04,0.19,9,15.64,7.11,25.12,-0.86,0.22,8,21.63,9.13,32.69,-0.84,0.22,7,22.6,9.62,35.1,-0.96,0.23,7,16.35,7.21,28.85,-1.03,0.22,7,13.46,6.73,27.88,-0.79,0.22,7,22.12,10.58,36.06,-0.82,0.21,8,18.75,9.62,34.62,-0.84,0.23,7,19.71,10.58,37.02,-0.66,0.2,8,27.4,13.46,40.38
Anguilla,AIA,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.91,0.32,1,78.11,63.68,89.05,1.11,0.21,1,82.84,71.08,90.69,1.35,0.31,1,91.18,73.53,99.51,1.38,0.37,1,90.78,73.79,99.51,1.4,0.38,1,91.26,73.79,100,1.41,0.41,1,91.39,73.21,100,1.39,0.46,1,89.95,70.81,100,1.37,0.46,1,90.05,70.14,100,1.32,0.5,1,88.63,67.77,100,1.32,0.5,1,89.1,67.3,100,0.88,0.51,1,78.37,53.37,94.23,0.91,0.46,1,78.85,57.69,92.79,0.87,0.49,1,78.37,56.25,92.31,0.84,0.47,1,78.37,56.73,91.83,0.82,0.49,1,77.4,55.29,92.31,0.84,0.49,1,75.48,57.21,94.23,0.94,0.52,1,79.81,56.73,96.63,0.96,0.49,1,81.25,57.69,96.63
Albania,ALB,-0.47,0.33,4,30.43,15.76,57.61,-0.44,0.32,4,32.07,16.3,54.89,-0.42,0.31,5,33.7,16.3,57.61,-0.31,0.24,6,41.62,25.41,57.3,-0.49,0.2,6,35.68,21.08,49.73,-0.19,0.2,7,47.76,31.84,58.21,-0.4,0.17,8,41.18,25,51.47,-0.15,0.19,9,50.49,36.76,55.39,0.03,0.19,9,53.88,45.63,61.65,0.14,0.19,9,56.8,50,65.05,0.24,0.18,9,59.81,51.67,68.42,0.23,0.18,9,58.37,52.15,66.99,0.28,0.17,10,60.66,52.61,69.19,0.24,0.18,11,58.77,51.66,68.25,0.25,0.18,11,61.14,51.66,67.77,0.28,0.2,10,62.98,50,70.67,0.19,0.19,10,60.1,49.04,67.79,0.2,0.2,9,61.54,49.04,68.27,0.23,0.21,8,62.5,49.04,71.15,0.27,0.21,8,63.46,50,72.12,0.29,0.2,8,63.46,50,72.6,0.24,0.22,7,59.62,45.67,72.12,0.19,0.22,7,59.62,46.15,71.15
Netherlands Antilles (former),ANT,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.64,0.32,1,69.65,57.71,83.08,0.86,0.21,1,75,64.71,83.82,0.86,0.31,1,75.49,61.27,91.18,0.88,0.37,1,76.7,59.71,91.26,0.89,0.38,1,78.16,58.74,92.72,0.9,0.41,1,76.56,58.37,94.26,0.89,0.46,1,77.03,54.55,94.74,0.88,0.46,1,77.25,55.92,94.79,0.84,0.5,1,76.3,52.61,95.26,0.84,0.5,1,76.3,53.08,94.79,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
United Arab Emirates,ARE,0.69,0.31,4,71.74,61.96,84.24,0.58,0.33,4,70.11,52.72,85.33,0.69,0.31,4,70.65,59.24,85.87,1.08,0.25,5,82.16,69.19,90.81,0.64,0.2,5,68.11,62.16,77.3,0.79,0.2,6,74.63,65.67,81.09,0.65,0.17,6,69.12,61.27,76.47,0.62,0.21,6,70.1,58.33,77.94,0.61,0.22,6,68.45,58.25,79.13,0.57,0.22,6,66.99,57.77,78.16,0.44,0.2,7,64.11,55.02,73.68,0.32,0.2,7,61.72,52.63,72.73,0.45,0.19,9,65.4,55.92,75.36,0.67,0.2,9,72.51,62.09,79.15,0.77,0.2,9,74.41,65.88,82.46,0.99,0.21,9,80.29,71.15,89.42,1.11,0.2,9,82.21,75,91.35,0.97,0.2,9,80.77,71.15,87.02,1.01,0.2,9,80.77,74.52,88.94,0.93,0.2,9,79.81,72.12,86.06,0.98,0.2,9,78.37,73.56,87.5,1.09,0.21,8,83.17,73.56,90.87,1.01,0.21,8,82.21,72.12,87.98
